itemset,support
"('Lab Top', 'Microsoft Office')",0.25
"('External Hard-Drive', 'Flash Drive', 'Microsoft Office')",0.25
"('External Hard-Drive', 'Lab Top', 'Lab Top Case')",0.25
"('Flash Drive', 'Lab Top', 'Printer')",0.25
"('Digital Camera', 'Lab Top', 'Lab Top Case')",0.25
"('Desk Top', 'Flash Drive', 'Printer')",0.25
"('Desk Top', 'Microsoft Office', 'Printer')",0.25
"('Desk Top', 'Flash Drive', 'Microsoft Office')",0.25
"('Anti-Virus', 'Printer', 'Speakers')",0.25
"('External Hard-Drive', 'Flash Drive', 'Printer')",0.25
"('Anti-Virus', 'Lab Top', 'Speakers')",0.25
"('Lab Top Case', 'Microsoft Office', 'Printer')",0.25
"('Lab Top', 'Lab Top Case', 'Speakers')",0.25
"('Flash Drive', 'Printer', 'Speakers')",0.25
"('Flash Drive', 'Lab Top Case', 'Speakers')",0.25
"('External Hard-Drive', 'Lab Top Case', 'Printer')",0.25
"('External Hard-Drive', 'Lab Top Case', 'Microsoft Office')",0.25
"('Flash Drive', 'Lab Top', 'Microsoft Office')",0.25
"('Lab Top Case', 'Microsoft Office', 'Speakers')",0.25
"('Anti-Virus', 'External Hard-Drive', 'Lab Top Case', 'Microsoft Office')",0.25
"('Anti-Virus', 'External Hard-Drive', 'Lab Top', 'Lab Top Case')",0.25
"('Anti-Virus', 'External Hard-Drive', 'Flash Drive', 'Printer')",0.25
"('Anti-Virus', 'External Hard-Drive', 'Flash Drive', 'Microsoft Office')",0.25
"('Anti-Virus', 'Digital Camera', 'Lab Top Case', 'Speakers')",0.25
"('Microsoft Office', 'Printer', 'Speakers')",0.25
"('Anti-Virus', 'External Hard-Drive', 'Lab Top Case', 'Printer')",0.25
"('Anti-Virus', 'Flash Drive', 'Lab Top Case', 'Speakers')",0.25
"('Anti-Virus', 'Flash Drive', 'Printer', 'Speakers')",0.25
"('Anti-Virus', 'Lab Top', 'Lab Top Case', 'Speakers')",0.25
"('Anti-Virus', 'Lab Top Case', 'Microsoft Office', 'Printer')",0.25
"('Anti-Virus', 'Lab Top Case', 'Microsoft Office', 'Speakers')",0.25
"('Anti-Virus', 'Microsoft Office', 'Printer', 'Speakers')",0.25
"('Desk Top', 'Flash Drive', 'Microsoft Office', 'Printer')",0.25
"('External Hard-Drive', 'Flash Drive', 'Lab Top Case', 'Microsoft Office')",0.25
"('External Hard-Drive', 'Flash Drive', 'Lab Top Case', 'Printer')",0.25
"('Flash Drive', 'Lab Top Case', 'Microsoft Office', 'Printer')",0.25
"('Flash Drive', 'Lab Top Case', 'Microsoft Office', 'Speakers')",0.25
"('Flash Drive', 'Microsoft Office', 'Printer', 'Speakers')",0.25
"('Anti-Virus', 'External Hard-Drive', 'Flash Drive', 'Lab Top Case', 'Microsoft Office')",0.25
"('Anti-Virus', 'External Hard-Drive', 'Flash Drive', 'Lab Top Case', 'Printer')",0.25
"('Anti-Virus', 'Flash Drive', 'Lab Top Case', 'Microsoft Office', 'Printer')",0.25
"('Anti-Virus', 'Flash Drive', 'Lab Top Case', 'Microsoft Office', 'Speakers')",0.25
"('Anti-Virus', 'Flash Drive', 'Microsoft Office', 'Printer', 'Speakers')",0.25
