antecedent,consequent,support,confidence
"('Modern Pants', 'Rash Guard')","('Socks', 'Sweatshirts', 'Tech Pants')",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Socks')","('Sweatshirts',)",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Socks')","('Tech Pants',)",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Socks')","('Sweatshirts', 'Tech Pants')",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Sweatshirts')","('Socks',)",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Sweatshirts')","('Tech Pants',)",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Sweatshirts')","('Socks', 'Tech Pants')",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Tech Pants')","('Socks',)",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Tech Pants')","('Sweatshirts',)",0.3,1.0
"('Modern Pants', 'Rash Guard', 'Tech Pants')","('Socks', 'Sweatshirts')",0.3,1.0
"('Modern Pants', 'Socks', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Modern Pants', 'Socks', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Modern Pants', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.3,1.0
"('Modern Pants', 'Socks', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.3,1.0
"('Modern Pants', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Modern Pants', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.3,1.0
"('Modern Pants', 'Sweatshirts', 'Tech Pants')","('Rash Guard', 'Socks')",0.3,1.0
"('Modern Pants', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Modern Pants', 'Tech Pants')","('Socks',)",0.3,1.0
"('Modern Pants', 'Tech Pants')","('Sweatshirts',)",0.3,1.0
"('Modern Pants', 'Tech Pants')","('Rash Guard', 'Socks')",0.3,1.0
"('Modern Pants', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.3,1.0
"('Modern Pants', 'Tech Pants')","('Socks', 'Sweatshirts')",0.3,1.0
"('Modern Pants', 'Tech Pants')","('Rash Guard', 'Socks', 'Sweatshirts')",0.3,1.0
"('Rash Guard', 'Socks')","('Modern Pants',)",0.3,1.0
"('Rash Guard', 'Socks')","('Sweatshirts',)",0.3,1.0
"('Rash Guard', 'Socks')","('Tech Pants',)",0.3,1.0
"('Rash Guard', 'Socks')","('Modern Pants', 'Sweatshirts')",0.3,1.0
"('Rash Guard', 'Socks')","('Modern Pants', 'Tech Pants')",0.3,1.0
"('Rash Guard', 'Socks')","('Sweatshirts', 'Tech Pants')",0.3,1.0
"('Rash Guard', 'Socks')","('Modern Pants', 'Sweatshirts', 'Tech Pants')",0.3,1.0
"('Rash Guard', 'Socks', 'Sweatshirts')","('Modern Pants',)",0.3,1.0
"('Rash Guard', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.3,1.0
"('Rash Guard', 'Socks', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.3,1.0
"('Rash Guard', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.3,1.0
"('Rash Guard', 'Socks', 'Tech Pants')","('Modern Pants',)",0.3,1.0
"('Rash Guard', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.3,1.0
"('Rash Guard', 'Socks', 'Tech Pants')","('Modern Pants', 'Sweatshirts')",0.3,1.0
"('Rash Guard', 'Sweatshirts')","('Modern Pants',)",0.3,1.0
"('Rash Guard', 'Sweatshirts')","('Socks',)",0.3,1.0
"('Rash Guard', 'Sweatshirts')","('Tech Pants',)",0.3,1.0
"('Rash Guard', 'Sweatshirts')","('Modern Pants', 'Socks')",0.3,1.0
"('Rash Guard', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.3,1.0
"('Rash Guard', 'Sweatshirts')","('Socks', 'Tech Pants')",0.3,1.0
"('Rash Guard', 'Sweatshirts')","('Modern Pants', 'Socks', 'Tech Pants')",0.3,1.0
"('Rash Guard', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.3,1.0
"('Rash Guard', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.3,1.0
"('Rash Guard', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Socks')",0.3,1.0
"('Running Shoe', 'Swimming Shirt')","('Rash Guard',)",0.3,1.0
"('Running Shoe', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.3,1.0
"('Socks', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.3,1.0
"('Socks', 'Tech Pants')","('Modern Pants',)",0.3,1.0
"('Socks', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Socks', 'Tech Pants')","('Sweatshirts',)",0.3,1.0
"('Socks', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.3,1.0
"('Socks', 'Tech Pants')","('Modern Pants', 'Sweatshirts')",0.3,1.0
"('Socks', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.3,1.0
"('Socks', 'Tech Pants')","('Modern Pants', 'Rash Guard', 'Sweatshirts')",0.3,1.0
"('Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.3,1.0
"('Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Sweatshirts', 'Tech Pants')","('Socks',)",0.3,1.0
"('Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.3,1.0
"('Sweatshirts', 'Tech Pants')","('Modern Pants', 'Socks')",0.3,1.0
"('Sweatshirts', 'Tech Pants')","('Rash Guard', 'Socks')",0.3,1.0
"('Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard', 'Socks')",0.3,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Rash Guard', 'Soccer Shoe')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Soccer Shoe')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Soccer Shoe')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Soccer Shoe')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Soccer Shoe', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Socks', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Rash Guard', 'Socks', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Rash Guard', 'Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Rash Guard', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Socks', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants')","('Rash Guard', 'Socks', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard')","('Socks', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard')","('Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard')","('Socks', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Socks')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Tech Pants')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Rash Guard', 'Tech Pants')","('Socks', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks')","('Rash Guard', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks', 'Sweatshirts')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks', 'Sweatshirts')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Socks', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts')","('Rash Guard', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts')","('Rash Guard', 'Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Sweatshirts', 'Tech Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Tech Pants')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Tech Pants')","('Rash Guard', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Tech Pants')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Tech Pants')","('Socks', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Modern Pants', 'Tech Pants')","('Rash Guard', 'Socks', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Running Shoe')","('Swimming Shirt',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Running Shoe')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Running Shoe')","('Swimming Shirt', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Running Shoe', 'Swimming Shirt')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Running Shoe', 'Tech Pants')","('Swimming Shirt',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Soccer Shoe')","('Hoodies',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Soccer Shoe')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Soccer Shoe')","('Hoodies', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Soccer Shoe', 'Tech Pants')","('Hoodies',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks')","('Modern Pants', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Socks', 'Tech Pants')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts')","('Modern Pants', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts')","('Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts')","('Modern Pants', 'Socks', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts', 'Tech Pants')","('Socks',)",0.25,1.0
"('Dry Fit V-Nick', 'Rash Guard', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Socks')",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe')","('Swimming Shirt',)",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe')","('Rash Guard', 'Swimming Shirt')",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe')","('Swimming Shirt', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe')","('Rash Guard', 'Swimming Shirt', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe', 'Swimming Shirt')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe', 'Swimming Shirt')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe', 'Swimming Shirt')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe', 'Swimming Shirt', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe', 'Tech Pants')","('Swimming Shirt',)",0.25,1.0
"('Dry Fit V-Nick', 'Running Shoe', 'Tech Pants')","('Rash Guard', 'Swimming Shirt')",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe')","('Hoodies',)",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe')","('Hoodies', 'Rash Guard')",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe')","('Hoodies', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe')","('Hoodies', 'Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe', 'Tech Pants')","('Hoodies',)",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Soccer Shoe', 'Tech Pants')","('Hoodies', 'Rash Guard')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Modern Pants', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Rash Guard', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Modern Pants', 'Rash Guard', 'Sweatshirts')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Modern Pants', 'Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Modern Pants', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Rash Guard', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks')","('Modern Pants', 'Rash Guard', 'Sweatshirts', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts')","('Tech Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts')","('Modern Pants', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts')","('Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts')","('Modern Pants', 'Rash Guard', 'Tech Pants')",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Sweatshirts', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Tech Pants')","('Modern Pants',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Tech Pants')","('Rash Guard',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Tech Pants')","('Sweatshirts',)",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Tech Pants')","('Modern Pants', 'Rash Guard')",0.25,1.0
"('Dry Fit V-Nick', 'Socks', 'Tech Pants')","('Modern Pants', 'Sweatshirts')",0.25,1.0
